address,balance,TDR,Wallet_Age(Days),From_Count,To_Count,Predicted_Holding_days
0x5e23d08324f017d5425e59a2782c9ae27ace0958,0.0,0.0,0,0,0,Over 4 weeks
0x40938d09b4a2a40b6538f7a8f77fc1971f8cef54,0.0,0.0,0,0,0,Over 4 weeks
0x88f659b4b6d5614b991c6404b34f821e10390ec0,0.03985,0.362,481,33,67,Over 4 weeks
0x724061efdfef4a421e8be05133ad24922d07b5bf,0.21593,0.0,0,0,0,Over 4 weeks
0xe15528f5a49f099aaa24fe82ca99836d4a418f1a,0.0,0.0,0,0,0,Over 4 weeks
0xc0882631627786eea84a851f66cdd1c0a070ea28,0.02195,0.087,547,18,25,Over 4 weeks
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,0.40329,2.222,1429,8,92,Over 4 weeks
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,0.56338,0.136,1965,39,61,Over 4 weeks
0x413a9c69df59288ef9a7ebe78a2033dd2f3e1af3,0.00568,0.079,520,16,18,Over 4 weeks
0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,0.0,0.0,0,0,0,Over 4 weeks
0xc9a25adcf11fc7e6fc8d419f4d4c861b8d57ef37,7e-05,0.0,0,0,0,Over 4 weeks
0xc54a6c3778016b06cbd126ccc3b5bc06c5f666fb,0.2316,0.971,1710,0,100,Over 4 weeks
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,0.08248,0.074,1925,46,54,Over 4 weeks
0xab7b49bacd43bd4cfa41433d477f690bb9e1fb26,0.05548,0.543,1927,18,82,Over 4 weeks
0x896002e29fe4cda28a3ae139b0bf7bac26b33a8c,0.02643,1.136,705,51,49,Over 4 weeks
0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71,0.06525,0.18,873,39,61,Over 4 weeks
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,0.24946,0.379,1108,41,59,Over 4 weeks
0xfa93c9a95727268b88ff77b5396ed3b8b59a1ba1,0.01405,0.283,595,56,44,Over 4 weeks
0xab888291f4127352b655fd476f64ac2ebfb8fe76,0.02355,0.17,893,45,55,Over 4 weeks
0x1ccb144b700ec726d37db38c617e154de6d9c0d0,0.79497,0.493,776,40,60,Over 4 weeks
0xf4a2a0015292d23ac8018f0252764c5cb296e434,0.07246,0.045,526,11,12,Over 4 weeks
0x3f5d2058971dfd0103e3bf5e423620b5a42db357,0.00372,0.071,1284,21,64,Over 4 weeks
0x74264aa892c5c4b596b91f961b1387f94ef3d5a1,0.00369,0.195,638,28,72,Over 4 weeks
0x13dda63c28bb95fe9822fea43ad5feaa966636a9,0.24148,0.377,685,48,52,Over 4 weeks
0xd31a84c20bc430ad75e6a1903e7ddbee52211072,0.26652,0.699,598,50,50,Over 4 weeks
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,1.209,0.296,1859,34,66,Over 4 weeks
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,0.41777,0.365,1865,2,98,Over 4 weeks
0x97432c12ea8c957c3ae2d59c9953cf8df9cbc5b0,0.00169,0.073,1350,26,63,Over 4 weeks
0xd7b26011e6eb5857a6251da1f77e9f3d8aac4489,0.19547,0.089,1807,26,74,Over 4 weeks
0xaff17968fd266b1cbf69c19b8be90fc167d8d3ef,0.00124,0.021,752,4,9,Over 4 weeks
0x9ae6b470d238a4ab42cac5feb27caa5a19f89510,0.05506,0.047,850,2,32,Over 4 weeks
0xc8d78cd2b119c6ad149bcdf0a297d63ffede1960,0.00067,0.087,285,10,13,Over 4 weeks
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,0.35714,0.33,542,36,64,Over 4 weeks
0x5244736b3a8f898149ae33f013126a20ce7abc62,0.01537,0.37,527,37,63,Over 4 weeks
0xce68b1394ed29ecaa6974536244d1d2aad4a2745,1.40201,0.188,774,35,65,Over 4 weeks
0xab3f34994048c2714cf403fdbe38ef8bee79b4bd,0.04717,0.065,752,5,35,Over 4 weeks
0x1c85d6ae1336d0e4e3f165bbfa9641bfa04cedb1,0.01824,0.171,1271,37,63,Over 4 weeks
0x70ddb5abf21202602b57f4860ee1262a594a0086,0.00178,0.187,726,32,68,Over 4 weeks
0x88441dcd4bc985965e69ecf5a454b04dc84ed876,0.11772,0.175,849,56,44,Over 4 weeks
0x3da952ccef2b63bf708f7f78a0ed333faa5cdaf7,0.12084,0.08,354,1,27,Over 4 weeks
0x95d8bc3ebcec8a8f2d3bdafe141ea118fbd7ca3f,0.06048,0.061,677,3,30,Over 4 weeks
0x670f2a946f731c6a1aede41f27f2fd4a378abb5d,0.16739,0.125,354,1,26,Over 4 weeks
0xb5b44c678659035cb6ff87e9f1393b54a4d0a335,0.10858,0.11,384,1,26,Over 4 weeks
0x7d55507f7d96b373706c0131fffbc4ffdcb3b6f6,0.00847,0.27,266,20,45,Over 4 weeks
0xb44ac514588be99870220d12120815bc3d349507,0.19352,0.595,1786,2,98,Over 4 weeks
0x245b0a88060d9e992e7950922c86fea91dd40fde,0.10564,0.072,744,14,30,Over 4 weeks
0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002,0.00254,0.097,1153,32,68,Over 4 weeks
0x4a27bfd91b30efaf08706d2105e5d8a1ad09ff0c,0.0,0.033,671,4,17,Over 4 weeks
0xa1118d2663d83857e858f12a9ce29d8faa2ef62f,0.10097,0.19,288,1,28,Over 4 weeks
0xcfbf79a75a35baa595b7e0d376c87fa47f6ef3da,0.0,0.0,0,0,0,Over 4 weeks
0x183bdb344a07ee3d27f07ac4799a56e4a2fe5439,0.0936,0.041,867,8,27,Over 4 weeks
0x0426b2f8e43deb95ad7a840f8c2a517ee33c6fb1,0.09163,0.174,288,1,25,Over 4 weeks
0x17ebee050c312567ad0038c0a703779401cb0fe0,0.05481,0.27,726,48,52,Over 4 weeks
0x843146d71d57af0e731f85db1f094643776c8e91,0.01571,0.026,618,5,8,Over 4 weeks
0x281ad9f2138ec59c3a9e7e4c98728c93eed868af,0.00174,0.039,596,8,14,Over 4 weeks
0x608109470afc9857561f9e33a3efbe2547902302,0.07107,0.174,288,1,25,Over 4 weeks
0x2a06913d5b8748b222e1236768c24ca19198b374,0.00267,0.358,557,39,61,Over 4 weeks
0xf55c02b021f91752521c0cb74303565f25baccb1,0.07468,0.235,724,44,56,Over 4 weeks
0x40a82a3ac2bb08e82133e25cbc6ca128dc7162aa,0.0928,0.329,507,37,63,Over 4 weeks
0x5acad6e75bf6ddd63ad5d88dbc9852ba401d8d02,0.082,0.174,288,1,25,Over 4 weeks
0x6cd2bbb806b308c9c9792bbb6d803fe8d0eede75,0.00509,0.02,571,3,8,Over 4 weeks
0xccb5d53c4721c008a65cc02f5df10a9ce67c6044,0.09787,0.168,288,1,24,Over 4 weeks
0xbd2a18df237c018e856dc88c720f9d99d82b086d,0.01134,1.818,746,9,91,Over 4 weeks
0x1982bd37e91fd7a8c88805e9a7aa009fa804b1f9,0.00872,0.69,678,28,72,Over 4 weeks
0x328adb38154da8f93ce0ffc47c26055e1975299b,0.03112,0.198,687,36,64,Over 4 weeks
0x9261fb273d1accbe2f15df1c254e7fcc971468ac,0.0,0.149,106,5,9,Over 4 weeks
0x71c9137eb29ce52e7bdab9ee5cac25208f910665,0.00913,0.0,0,0,0,Over 4 weeks
0xf5fe364d18f4a5a53badce9a046ba74cfc97f6fb,0.12089,0.119,1776,42,58,Over 4 weeks
0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b,0.08833,0.213,762,45,55,Over 4 weeks
0xc56618e14dc795d0a3aef77cfc9f3b1dba2514c6,0.00979,0.222,163,5,13,Over 4 weeks
0x44091c26a36c2a08b7e6e9a288136fdee3b05674,0.00366,0.0,0,0,0,Over 4 weeks
0xbda0136ea391e24a938793972726f8763150c7c3,0.00173,0.156,753,30,69,Over 4 weeks
0x7683c36e3067ad69e2ac06ddb21250eaf4e4ffed,0.04007,0.023,443,1,9,Over 4 weeks
0x50e70c43a5dd812e2309eacea61348041011b4ba,0.00034,0.0,0,0,0,Over 4 weeks
0x707d306714ff28560f32bf9dae973bd33cd851c5,0.00207,0.116,685,11,55,Over 4 weeks
0x7558899d8109d8a2ce457837ade56c3d6ebfe90d,0.04614,0.119,1595,29,71,Over 4 weeks
