address,score,rank,relativeScore,daos,proposals,votes,isSmartContract,isActive_in_Daos,list_no
0xd9293636ee3aa663fc563adb0912b0705dafb62c,325.84,2,100.0,128,12,3860,No,True,1
0x8eef779818afa953b0652e45438423ebe089f55a,154.28,9,100.0,93,18,1403,No,True,1
0xe274ae86ff13c1bbaacd3662ec5fd7279a18e28f,56.82,372,100.0,189,0,501,No,True,1
0xd57e9df75381553ce9c154712ac7f73eb206bd63,58.74,298,100.0,191,0,524,No,True,1
0xbafaf28d01aefec4cf16830d2187becd502c6e0f,55.84,432,100.0,184,0,495,No,True,1
0x1d0239e4e185f5f3fba605897849744ae8b5f333,56.73,383,100.0,189,0,501,No,True,1
0xa129d5436fb797ff1d9c11b5f9d3ab0e27dd34b5,56.65,389,100.0,187,0,502,No,True,1
0x33d7147b957c1d1d0bb17d2b09e1d85e86be9873,55.89,430,100.0,185,0,493,No,True,1
0x7f64716cfb04ef0b78a3fcf02d3406a1b9dd0c42,56.52,394,100.0,188,0,498,No,True,1
0xfd7d9173403efd29f6b0b576217a59fd426170b8,56.49,395,100.0,188,0,498,No,True,1
0xee33d688fe27a3a754435c50f8a12654d5327a16,55.7,434,100.0,187,0,495,No,True,1
0x3b174445371dd00fb766357f29118ac6a0aeec1c,56.22,414,100.0,186,0,497,No,True,1
0x66109b3b6348d1df6bf1f8d998e527b967f682ea,56.13,421,100.0,186,0,497,No,True,1
0x1e265fdd0654120c739639b87e967f65339aa4cf,55.74,433,100.0,184,0,495,No,True,1
0x94d4d40759af1cd2addb95252278dbae38c78d1b,56.36,409,100.0,187,0,497,No,True,1
0x8a36c41e2b7d0ee24668729d08543ab77a99dced,56.09,425,100.0,186,0,495,No,True,1
0xb4d50b4e31181a004beb14e8b0a522bb434ea1fe,56.15,418,100.0,187,0,496,No,True,1
0xa3728c1f3ac52ded2fc69d3b95235d7a6fd2b377,55.36,447,99.99,187,0,490,No,True,1
0xe874411d6e354b93be52b05280052c193550fa03,55.3,449,99.99,185,0,492,No,True,1
0x1cd1a6c4570c039368f5456aa82574af6567e6f6,55.23,452,99.99,185,0,491,No,True,1
0x6069a291fc1dbbb0782a1314b6fb06e6d25b22da,54.73,465,99.99,182,0,488,No,True,1
0x02e9e647e041854ad3c4c56d8c4f4b69c68a7682,56.46,398,100.0,188,0,497,No,True,1
0xdc7ec05bf7781f9e861ee5486023dc6cf71fa7c4,56.09,423,100.0,187,0,493,No,True,1
0x81d53cd3e96fd8d51cef3de47e546d0b325af8bf,55.84,431,100.0,185,0,495,No,True,1
