address,balance,TDR,Wallet_Age(Days),From_Count,To_Count
0xd9293636ee3aa663fc563adb0912b0705dafb62c,0.02663,0.568,684,47,53
0x8eef779818afa953b0652e45438423ebe089f55a,0.08224,0.422,602,33,67
0xe274ae86ff13c1bbaacd3662ec5fd7279a18e28f,0.01211,0.093,474,10,28
0xd57e9df75381553ce9c154712ac7f73eb206bd63,0.62012,0.108,695,14,54
0xbafaf28d01aefec4cf16830d2187becd502c6e0f,0.01947,0.12,348,9,25
0x1d0239e4e185f5f3fba605897849744ae8b5f333,0.01617,0.041,1167,13,32
0xa129d5436fb797ff1d9c11b5f9d3ab0e27dd34b5,0.00021,0.12,340,8,25
0x33d7147b957c1d1d0bb17d2b09e1d85e86be9873,0.02074,0.12,348,9,25
0x7f64716cfb04ef0b78a3fcf02d3406a1b9dd0c42,0.04347,0.116,347,8,25
0xfd7d9173403efd29f6b0b576217a59fd426170b8,0.03069,0.116,340,8,24
0xee33d688fe27a3a754435c50f8a12654d5327a16,0.02813,0.116,340,8,24
0x3b174445371dd00fb766357f29118ac6a0aeec1c,0.03119,0.116,340,8,24
0x66109b3b6348d1df6bf1f8d998e527b967f682ea,0.01345,0.116,340,8,24
0x1e265fdd0654120c739639b87e967f65339aa4cf,0.04459,0.116,347,8,25
0x94d4d40759af1cd2addb95252278dbae38c78d1b,0.02012,0.116,347,8,25
0x8a36c41e2b7d0ee24668729d08543ab77a99dced,0.02003,0.116,340,8,24
0xb4d50b4e31181a004beb14e8b0a522bb434ea1fe,0.01994,0.113,347,8,24
0xa3728c1f3ac52ded2fc69d3b95235d7a6fd2b377,0.02611,0.106,347,7,23
0xe874411d6e354b93be52b05280052c193550fa03,0.02556,0.106,347,7,23
0x1cd1a6c4570c039368f5456aa82574af6567e6f6,0.02951,0.116,340,8,24
0x6069a291fc1dbbb0782a1314b6fb06e6d25b22da,0.02763,0.106,347,7,23
0x02e9e647e041854ad3c4c56d8c4f4b69c68a7682,0.12225,0.116,347,8,25
0xdc7ec05bf7781f9e861ee5486023dc6cf71fa7c4,0.08534,0.093,474,11,27
0x81d53cd3e96fd8d51cef3de47e546d0b325af8bf,0.02006,0.116,347,8,25
0x1d7375a6ffc5a60b435558859a2762cfd6c6b07f,0.04848,0.106,347,7,23
0x41602b8582f474eb9c029dd502e7dda119345931,0.04239,0.063,637,10,26
0xf9039ae1e299486d8e6c5740ca6340797fd42736,0.04092,0.116,347,8,25
0xf574fbbbd0c29ff2dbd10839e33793a6eafde809,0.02082,0.11,347,7,24
0xe8fcdb117a5f0ec16ef040e6fe3f675390a7bb5c,0.02283,0.106,347,7,23
0x4e4b40b1a3f945d6ecc00f65adba063be82439f0,0.02138,0.116,347,8,25
0x2f1121edcbce01b87a26888dbdc4f021a10f9390,0.0,0.0,0,0,0
0xc9ac69013f041ebee6009bed69047db1a795dbe9,0.02072,0.123,348,9,26
0xa6b1f5959b2ec60a95409702e183f9ed4cf009e5,0.0,0.0,0,0,0
0x2338e4897119a104a3145f7b500fe98b51a56637,0.02532,0.106,347,7,23
0x03f09100415c7dae68577917a0759d57a14457ac,0.0,0.0,0,0,0
0xbbdfe37f2b5d2b7e86721324336abdc2221c4be3,0.06831,0.11,347,7,24
0x6cbc8648f79f76e9301ff12b96c429cacd2ee776,0.007,0.094,330,3,14
0x17cf5522f1283c44feff7932f199be23a36f2cc8,0.0,0.0,0,0,0
0x871f20958f5aaaad34f6d43502846e7a9491d976,0.0,0.0,0,0,0
0x08420b20df9259f615367535da31cd609bb1cf07,0.0,0.0,0,0,0
0x0dd83843d0fe2dd9470201179b1b9fff28e75aec,0.0,0.0,0,0,0
0xb5311bea5b3f66288d4b9d47a0c8a4bd9cf33714,0.0,0.0,0,0,0
0x3b6967e7d0f4309cf08ab6a4a88381f3da035248,0.0,0.0,0,0,0
0xaf55cf23c8cab7eca1160f372a11b5de073703c1,0.0,0.0,0,0,0
0xa927a9d9908f6470207ddf453afb03b30df4c308,0.0,0.0,0,0,0
0x67499af7d3de89efeb8934386316947d82dfc510,0.0,0.0,0,0,0
0xc7c380c8fefa2438332b75f2f6050a3698a0e741,0.0,0.0,0,0,0
0x4f5c6984e114d654c90e85dd4e2972920c625780,0.0,0.0,0,0,0
0x365c59e3479e1edb76a6614048b75696ffb5acf7,0.0,0.0,0,0,0
0x112e3e9cc361183c37a59a6172916ec8ce0d08eb,0.0,0.0,0,0,0
0xbab8adae732cd3588f51f3050decfe2b79a3a973,0.0,0.0,0,0,0
0x51cb9d27b98a84318859704c1af63088ab86592e,0.04981,0.181,761,44,56
0x901397dc85072203da7b104460abc49e7d74adaa,0.0,0.0,0,0,0
0x491e83d1f86d1f753050d17becfba1353cf3dfa4,0.02653,0.243,612,40,60
0x1fe66ce3f26b4039b737dd1e3ce6566c153339ea,0.03094,0.178,658,30,61
0x9446109c997e0ceb552be06bbd08fe8310b2fae9,0.01863,0.09,572,19,22
0xf5fe5014769a240a974f4e2afbbb2cc4e087ae08,0.01824,0.403,308,21,31
0xa0f786382852c8bbed9b7078b51b6158d248ffcb,0.04346,0.013,316,1,3
0x68192171d7b4977dca44f7ea5703866e038676a0,0.01789,1.042,1875,2,98
0x5f4ef5c539a56291665fcca4e6b7a6446ad11cc1,0.01128,2.439,944,37,63
0xe9006c3732dde8c2d5c4ce65568179035ace744d,0.0035,0.231,708,45,55
0xa2da61904f8927b64d349a201b0393c7d0b7a59a,0.06927,0.107,517,17,36
0x6c8cf69400d769918d3a3ccb270cd28255b148dd,0.17135,0.045,562,10,14
0x71a70e646b3898dd058b4a7b82844bc48cf2c8fd,0.03381,0.826,1857,1,99
0xb52ba587b8b27ac3f9b842dd2075aec1a150e1a7,0.12287,0.037,1844,8,59
0xddcb694f09508a5186789415365bd7741b020dae,0.02362,1.0,164,0,1
0x552cda6990392d5345d2bcd6ed59ae4acd24392c,0.0025,0.104,632,3,4
0x087bf57afe65384bb1c3bc0c3c437bb5a90bb747,0.07202,0.032,517,5,9
0x9bfb81092174a6e34c5d99ba984958a5439e309d,0.11189,0.054,1830,9,86
0x53f2d7e9f8204085b4ae6db2d0342a844b2d7fec,0.14481,0.011,478,0,5
0xeca94336e45f68416f2b2979e2af037b687d5b11,0.05967,1.0,164,0,1
0x451a2f23b2a18f11ace266c4fe3943aea0d92cac,0.01174,0.226,656,42,58
0x2f354ada47174376a144b74059551f6adc6b1427,0.03621,0.057,517,11,14
0xd64862354776116942cda34e7c23fbf55c77cb6a,0.09886,0.011,521,1,3
0x5df1ff52d856cbe82e2d5eeec7d9d0fa03572674,1.18888,0.356,750,50,50
0x5c91e7b82fa4106a35089f179f1724ffab788ab6,0.08303,1.0,164,0,1
0x14c3f5befe16d52818ec2c43e1b5fb076ac29724,0.04413,0.074,192,0,2
0x2b54ddf2a0a2fe1de355e416bd3cc764c66b8a28,0.06658,1.0,164,0,1
0xa8c4e3ce1743d0f2a6c227548c982a7c40569940,5.3425,0.168,1117,32,68
0x9e4977972cb8a95fdf2cf9bda269ebdb2dcaea35,0.00606,0.275,783,47,53
0x79e684a001fdd917fe61bf0643d5800956c91a83,0.03444,0.099,761,25,44
0xbf36aa0606df17ec21f5b58dee6fe0adcfcbe78c,0.05061,0.06,1721,19,79
0x585c24a3e333308f7665fd997a1129538197af35,0.01812,0.023,164,1,1
0x866b95fc824ba7e0419336cb92e754db15b29a0b,0.00268,0.111,433,14,29
0x872604fd2d6336c7dbf20ebdbbae734eb7b75a52,0.03382,1.0,164,0,1
0x3094ee8d6d5622601c6e87ffc1c8150c8d8258c0,0.00876,1.0,164,0,1
0x8c838d7f1b137cf5d2ddc9679f9e78751ae60535,0.02444,1.0,164,0,1
0x623bd1c8114daa4d4d556f27d23d629a7c39c52e,0.00894,0.025,322,2,2
0x71ff65395a8998409608f8003007c4144978169d,0.00232,0.146,943,45,55
0x5e3d7a90df956b4c78ada81fd04e2686f52fef67,0.10372,0.271,407,61,39
0x9d02eee5b2776ab01ecd34e0925c82e377105032,0.00307,0.0,0,0,0
0xe40ece10723438a4ad7b929f3e93880b8d6e9c6e,0.09257,0.045,275,2,3
0xe683fb3ea5023628218b717156af2c573fdc24df,0.00702,1.0,164,0,1
0x2c1a420cb6c631d1d38e738d8eafa8c9dc5d0b6d,0.00333,0.018,393,0,3
0x2b2155ba23571478fa95a145df8fc5632a7f41ee,0.01274,1.0,164,0,1
0xd5fae9a76de0bf1063eee5d4ae05be77cb08e68a,0.02111,0.152,944,47,53
0x33e21bfc52a4e15e7322c79ceb588f8101609b55,0.01361,0.156,634,70,24
0x121e86117868ddb843e7f6bcc4fea551e31d6b4e,0.05132,1.0,164,0,1
0xab99da4232c2d78d7a5b4a6946827f3fb8ac3f39,0.00139,1.0,347,0,1
0x1fcf5c796dc101fd3b282b5c30fdd92e1c80d9ba,0.04287,1.0,164,0,1
0x01c8f404143d64a859b6db71fdae200919f5344c,0.04264,1.0,164,0,1
0x0362630a31ebc56d06db4606efb19f26f9703a66,0.00438,0.353,519,43,57
0x2dda83ea34157b05b24827a94e460d99cf9ccfb8,0.00355,1.0,368,3,3
0xd80d57e2d1cbf09b14626ec3974f12c1952917c8,0.01201,0.333,513,40,60
0xaa87a3a6290e2739bb7c87a0d6d6ab794cb2db23,0.10589,0.036,511,3,9
0x12df6293be92f5bedbee7767e441f710672e3f2b,0.00123,0.02,599,4,8
0xd314cb3388d80236ac7111be118f86d8558de8b5,1.00533,0.301,683,46,54
0x80cc360fcf3e7e57c233b8cee78b531ee33f59a6,0.0027,0.02,509,2,5
0xf64da7be3d8eef9e6eb2dc554253c82452e89735,0.01138,0.021,581,3,6
0x2f9cad8d0f2e86f709247f540472c17be8d72756,0.00575,0.104,540,13,42
0x916844e00c6e1a307679b74b45747820c750a653,0.00173,0.076,521,7,8
0x73f809c0b3cf18d40463d05ba4b95067cb51393b,0.00468,0.259,512,47,53
0x1f2910331d564341ba9a9762f2b7eca182230b2f,0.00932,0.155,523,22,55
0x5ad75f8b6a44734a886c5ebb2e999971fc8a1d5f,0.00502,0.13,395,6,26
0xe6b4a4972abe38820322af468f3aee439f652704,0.00186,0.081,522,17,23
0x3951d734bbd956761802a7f4297ccade69bde9d9,0.02339,0.077,285,1,4
0x8aeec595cf608d593881af5628358c8a9c655370,0.02427,0.182,285,1,3
0x18bf1760f51f7aa4c09a12f797ed8234f8091ea8,0.00613,0.078,284,1,4
0x4ddc9139099209e8437a33652e5203f2fd092c68,0.01164,0.079,283,1,4
0x7bb5c741f9e4df849c3c81f57222ab6752ace344,0.00191,0.148,284,1,3
0x6222ceac2f78e8e6500e2e3853914f63959e2481,0.00191,0.018,502,0,4
0x493f38aa492b30c5c9654e75c7ffbe634806e64b,0.00134,0.049,438,4,8
0x826ff512767debddb34830aa71eaec312fecbadd,0.00739,0.169,643,38,62
0x33ffa2786c764a7407e3bc2021ecdca0408f6ab6,0.36603,0.117,468,16,38
0xccf96f702936c9663ad595f8d00fd7b86783f17d,0.10867,0.214,670,45,55
0xa0c35b4ccf7c53ba44b3784fdb7e2c5528cf306f,0.0098,0.318,520,44,56
0xba6a5d1d74e056fb7ec1263a110f5bd9462df58a,0.0069,0.048,726,9,21
0x19d93f2d78511dbff8c7d07be388f0db859d1e8c,0.00546,0.114,397,1,3
0x4b80e11d2410f2029ae73628603840dffbf885aa,0.39002,0.323,482,37,63
0xc720aad5b91dc6661d3ea32ddea7e11003a0c12f,0.01537,0.172,791,41,59
0x654d43f5230e8c797a58ea7672d24121cec9e512,0.01123,0.0,0,0,0
0xf6f619e602627e4ce430f652e062aab49f1cc90c,0.00928,0.122,518,15,30
0x962c8a45b4b2cac1ff3090f3208853c6454164eb,0.03866,0.119,624,25,40
0x4e0265570d51d665d6386eedeaf68acab0c8372a,0.01325,0.066,526,10,20
0x31148251b89069d3e3b178b67e81c8139f322a2e,0.00322,0.06,521,6,15
0xefcb4160ccfba030bf1a673e593012b212a8227d,0.00327,0.064,515,7,12
0x0afe4322173f9914888d89d55fd069cecc7dd79a,0.12012,0.375,2138,41,59
0x413a9c69df59288ef9a7ebe78a2033dd2f3e1af3,0.00568,0.079,521,16,18
0x0ed26a54d83d0df3ebbbbf6aac003c9af6874870,0.25377,0.268,959,43,57
0x690ebb72ea7f5c37efe9c325e430129d6674d5ef,0.01464,0.026,521,4,6
0x94a1f89ca35a03381e1a2c60adb64246f21e3d26,0.00489,0.05,695,10,22
0x3b80a4d6843cea218df6d8963c70572c20ef77d1,0.00109,0.111,635,19,35
0x5491799c40480f4a92730ac9d6bbed748090a6d4,0.31964,0.439,745,46,54
0xb9770eec6b2bd09b3c7d855a52c170ad2dbd25f9,0.00046,0.058,495,5,5
0x205f12866dea6efb18fc2f62f1c59a59c4755ede,0.49562,1.042,731,43,57
0xc5e7c5032d203b69da4d8feb7f3c3179fd9cb83b,0.01389,0.151,760,21,72
0xe03b1c9a1acc30e2415a35cefd314c2fd401b963,0.0002,0.105,530,10,10
0xf2ff58e0843a6b58706eacc7f7ed77405e7ef3eb,0.01626,0.023,525,3,4
0xd332289ad25cdec2920d58c34df85be09cb81619,0.01132,0.05,734,19,17
0x8b65ff74d2f1d9b31d647c7719895e50deeeda69,0.02037,0.431,579,45,55
0x365a7f02cd4d4c5d6b20336dbda8cb7942b2e866,0.00025,0.112,574,16,21
0xa90a1a41750946246a532224593a48313bb7f983,0.00267,0.146,737,47,53
0x9deab809ad01b8aded69b4be593356c96487375e,0.01161,0.072,811,23,32
0xdd7724eff52c6ec5f2f7649eadd5025d890b3690,0.00261,0.221,720,48,52
0x60770c6155f2974f41b802d983669f57b75d95b3,0.14231,0.339,369,41,59
0x71141f13f38809fba57873ddee60aa9982b01b01,0.00172,0.0,0,0,0
0x7f69eec4a308381e9d1a8a030c0d19b0bfe5ce16,0.00111,0.804,219,20,21
0x1213a46dd9ad97338385c462a133dec6786cb685,0.00111,0.249,219,21,22
0xaed5ef0aa3d1461946257d9198475a8aced910d0,0.00163,0.095,1417,22,78
0x486ca42d55712d2293093a31e57e283ca7ad36b0,0.05076,0.096,672,18,28
0x694cf723954203c4644f273277538af3dd947489,0.02777,0.155,348,15,29
0x30f4337abe6f70890f4ac7ff77016d4b8edb42a6,0.04891,0.169,516,39,44
0x7eeb2f415c4cf5303bffc4e83dbbb23e5f45761b,0.0009,0.199,347,23,39
0x4ffc3884669e442e5d2f687b2c70504d942ba129,0.04166,0.224,834,35,65
0x2d815240a61731c75fa01b2793e1d3ed09f289d0,0.00063,0.06,671,14,25
0x552e66e3b9ec27d67a8326993a2580aeab7798a0,0.00355,0.051,812,17,22
0xe4a5794c7bcd704ebf27c3a98256a34e5640e383,0.00076,0.03,579,5,11
0xd4b674379e728c60e40c1168c55c7b62f74e71cd,0.02072,0.0,0,0,0
0x60e9bb097633097209997c539f2c35e90db36a48,0.00817,0.044,572,7,16
0x8d81e62c916b572b5af8f5f1433a2e4e9d39292d,0.02675,0.028,480,3,6
0x87c7dbebd306249e4a36f0aa40b34ba9d333562b,0.0004,1.0,219,0,1
0x6b58bc920199eefc3048a02d113627e6e0226f50,0.02102,0.116,579,18,32
0xdc6b8d16a7bc3b95294d71b42f288b4fe14181da,0.04373,0.116,579,16,34
0x6c1bb12d45851e34e63d3aec1367702a2a01ef9e,0.01839,0.327,579,40,60
0xeaea403f57cf1d143258aa5f30c53c313db0bb14,0.00439,0.313,558,38,62
0x7b731d3e1b4c6d71925833876af25fdd5c618191,0.02039,0.142,579,28,47
0xa1c4a0a3167ac52a6853477af1db4d882ef5f72c,0.02276,0.051,579,5,22
0x9290a2170e18604aada853e5cea4f34aad6d3efb,0.00362,0.079,579,9,25
0x5a09496e9cca89ba9289125817a5863ca6808b4f,0.01744,0.057,579,6,24
0x5765d2e0f02d3479cbb0900fc4e242e46fff0333,0.00407,0.077,578,7,26
0x6a4f118afe5eefbeeb1591e516b3c9a8fabe6026,0.01098,0.098,579,17,35
0x1a447a505919a0be39291224d4a4b096248a4a8c,0.01999,0.053,579,5,23
0x8ce2410e46b27ceba76d7e8837b0d00b650fdd42,0.0037,0.074,579,11,28
0xfaa5ee4dce2a4e0479f651856d17e9cd93a15c55,0.0147,0.063,579,5,22
0x150453b44018797cec161ce9770aca07652953a3,0.01948,0.058,579,7,24
0xd1d399a5ab77ce9f481c7f6cd5af8b96d0341dbe,0.01821,0.055,579,6,23
0x64b998a7078c86e444facbf26ea220829b636103,0.02517,0.053,579,6,22
0x5abecdb7466b4d80deae00512f9e6b5e1977718d,0.00507,0.0,0,0,0
0xc316088d4701a2c6ec8dbb03bd6b22dd7ea32e13,0.00311,0.0,0,0,0
0xbb342c8b30c5d561248ce7568c428cda53803061,0.00265,0.0,0,0,0
0x2002b8a5d462fe9f669f46051e39c26dcee9f828,0.00314,0.0,0,0,0
0x6cbba665d72d3b027b936e62c560a9f42d8c9650,0.64968,0.258,312,33,39
