address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0x098ddd0d9d0727b6459f2cc565ae6ae35740d39d,0.00125,67,2.9391024829847106,0.0,0.0,0.628,133,37,39,False
0x60983eec5040a9211f6b1808a1a3e3a2742a4821,0.00956,7,256.19058364596145,356.0,100.0,0.111,317,15,16,True
0xe6d8baa506ff4b62a2abe1437ae78d055154c3a6,4e-05,67,3.9367078170852974,0.0,0.0,0.01,362,1,2,False
0xc0ef7a58910f31656c2251e35c447e1707330205,0.00854,67,13.057311446145649,12.15,93.05,4.545,155,46,54,False
0x93c26a0563a76765b0bc36a10a98388e75eed324,0.01146,67,6.931140150730448,0.0,0.0,0.175,410,34,37,False
0x9ec8f3977012d73dfcf66c135193efce0e905000,0.02183,67,19.235469640492664,0.0,0.0,0.19,465,34,50,True
0x0d8e526745479e6c36632e3f9f5016b76715b670,0.00936,67,4.428749814183681,0.0,0.0,0.581,158,43,47,False
0x8bfe317d31f8fc6520bd4a5f7092b402699bac4c,0.00045,36,4.366420387594336,4.366491037265249,100.0,0.648,102,22,24,False
0xe01dddfb490726df1fc3a62ab627f05ce673c586,0.21263,67,32.7360661354331,0.0,0.0,2.273,308,47,53,False
0x4de7b112934eb93e225d790b10f9cbf24d5b2728,0.00238,0,6.629249315806095,6.629254059123757,100.0,1.203,129,40,43,False
0x15420688c20631659b14648581f3a0a1ac5c8a2d,0.00372,9,16.370466636869605,16.57,100.0,2.857,163,48,52,False
0xad91bae71e4569ec5ff09be170e223cc6b388ab0,0.00102,67,5.900448219807792,0.0,0.0,0.111,491,21,26,True
0x6bdb638bf5f53718a533a51a115dc64c7146b4f2,0.00138,67,137.96125029250123,0.0,0.0,0.098,490,18,24,True
0x049bfeefdc0354ad08f87d5e952924961305b6a0,0.00063,67,4.231425988836569,0.0,0.0,0.048,212,2,5,False
0xfd0a8b2fa0e0d5cee120d8ff42cb0c39eda0e1ee,0.00066,67,7.892905043018916,0.0,0.0,1.0,67,0,1,False
0x11b2e73395a1b641b54fc425a6a76955c03efdf8,0.00072,67,3.261970215728941,0.0,0.0,0.492,132,30,32,False
0xc53c5031b32c9f37eb2205ccc67c272438322546,0.00033,67,6.888562063326935,0.0,0.0,0.169,347,23,27,False
0x5c714fff18446b216722ad54517b142f9cdca825,0.00108,0,5.571951919901736,5.57195191990173,100.0,0.769,197,45,55,False
0xc373a6e99ea57ab2eea5020f945f3133949c234b,0.00012,67,4.031014771027934,0.0,0.0,1.0,104,18,19,False
0xb4a6b42a8c96022e1ae90748e5664af182be7f80,0.00545,0,6.293129414093465,6.86,100.0,2.5,133,47,53,False
0x14d86d8ff86a1470824a4437c893ef40145a6032,0.05699,67,7.649042903891608,0.0,0.0,12.5,104,47,53,False
0x109fa179c8df1f5173f032161b5d58d3726a9600,0.0,63,5.332724373083498,5.332732012502875,100.0,0.576,96,24,29,False
0xb981bdb5b1de479cbc4986fc669235ee194a9070,0.16787,1,55.05110350444994,55.051103504449934,100.0,0.418,468,38,62,True
